Date,COVID_Patients,COVID_ICUPatients,Bed_Occupancy,Link,
2020-12-21,3143,702,71%,"https://web.archive.org/web/20201222022853/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2020-12-28,2760,657,67%,"https://web.archive.org/web/20201229041218/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-01-04,2643,545,70%,"https://web.archive.org/web/20210105024635/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-01-07,2516,498,75%,"https://web.archive.org/web/20210108011240/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-01-11,2340,479,72%,"https://web.archive.org/web/20210111230846/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-01-14,2180,491,75%,"https://web.archive.org/web/20210115025152/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-01-18,2080,467,72%,"https://web.archive.org/web/20210118230450/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-01-21,1845,377,73%,"https://web.archive.org/web/20210121224721/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-01-25,1630,387,70%,"https://web.archive.org/web/20210126005353/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-01-28,1508,357,73%,"https://web.archive.org/web/20210128225753/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-02-01,1382,329,69%,"https://web.archive.org/web/20210202013326/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-02-04,1311,295,73%,"https://web.archive.org/web/20210205021747/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-02-08,1191,288,70%,"https://web.archive.org/web/20210209171415/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-02-11,1044,260,73%,"https://web.archive.org/web/20210211233504/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-02-18,863,213,71%,"https://web.archive.org/web/20210219005432/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-02-25,815,185,74%,"https://web.archive.org/web/20210226001008/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
